provinces_in_seila,total_communes,1996,1997,1998,1999,2000,2001,2002,2003
Siemreap,100,0,7,21,28,50,65,83,100
Banteay Meanchey,64,2,10,29,32,45,63,63,64
Battambang,96,2,10,22,28,47,57,83,96
Pursat,49,0,5,11,13,49,49,49,49
Ratanak Kiri,49,0,11,11,13,19,34,44,49
Oddar Meanchey,24,0,0,0,0,7,17,24,24
Pailin,8,0,0,0,0,0,8,8,8
Kampong Cham,173,0,0,0,0,0,5,35,173
Takeo,100,0,0,0,0,0,5,35,100
Prey Veng,116,0,0,0,0,0,5,35,116
Kampong Thom,81,0,0,0,0,0,5,25,81
Kampot,92,0,0,0,0,0,5,25,50
Svay Rieng,80,0,0,0,0,0,0,0,80
Kampong Speu,87,0,0,0,0,0,0,0,87
Kampong Chhnang,69,0,0,0,0,0,0,0,69
Kratie,46,0,0,0,0,0,0,0,46
Preah Vihear,49,0,0,0,0,0,0,0,49
